stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction,clust,max_distance,quant
F03283,Rózsa utca,47.516126,19.156159,,,F03283,2.0,-126.0,1805,86.680292064487,3
009381,Rózsa utca,47.516126,19.156159,,,F03283,2.0,54.0,1805,86.680292064487,3
F03282,Rákosi út,47.516126,19.156159,,,F03283,2.0,147.0,1805,86.680292064487,3
F03369,Baross utca,47.524101,19.150359,,,F03369,2.0,-33.0,1806,62.93891645566306,2
F03370,Baross utca,47.524101,19.150359,,,F03369,2.0,147.0,1806,62.93891645566306,2
F02690,Rákosszentmihály vasútállomás,47.519648,19.148326,,,F02690,1.0,,1808,44.77075802408043,2
F03281,Rákosszentmihály vasútállomás,47.519648,19.148326,,,F02690,1.0,,1808,44.77075802408043,2
F03280,Rózsa utca,47.520565,19.151282,,,F03280,2.0,147.0,1809,24.19405213770215,2
F03279,Csömöri út,47.520565,19.151282,,,F03280,2.0,-33.0,1809,24.19405213770215,2
F03277,Pálya utca,47.52192,19.152858,,,F03277,1.0,-118.0,1810,79.9442574639984,3
F03278,Csömöri út,47.52192,19.152858,,,F03277,1.0,145.0,1810,79.9442574639984,3
F03276,Pálya utca,47.52192,19.152858,,,F03277,1.0,51.0,1810,79.9442574639984,3
F03361,Baross utca,47.526651,19.15472,,,F03361,2.0,147.0,1811,58.68953033135661,2
F03362,Baross utca,47.526651,19.15472,,,F03361,2.0,-35.0,1811,58.68953033135661,2
F03265,Rákóczi út,47.52449,19.157026,,,F03265,2.0,-35.0,1812,108.70003647001636,3
F03264,Batthyány utca,47.52449,19.157026,,,F03265,1.0,-123.0,1812,108.70003647001636,3
F03263,Rákóczi út,47.52449,19.157026,,,F03265,1.0,55.0,1812,108.70003647001636,3
F02988,Rákospalotai határút,47.528875,19.152547,,,F02988,2.0,146.0,1813,141.10440496692846,3
F02989,Rákospalotai határút,47.528875,19.152547,,,F02988,2.0,-30.0,1813,141.10440496692846,3
F02990,Rákóczi út,47.528875,19.152547,,,F02988,2.0,44.0,1813,141.10440496692846,3
F03143,Késmárk utca 11.,47.530129,19.148166,,,F03143,2.0,123.0,1814,65.86115515135327,2
