stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
F03394,Csinszka utca,47.515626,19.206694,37,37.0,0.0014714773490132722,0.0014756517461878996,0.057233749049857834,0.01681828013838917
F03395,Csinszka utca,47.515347,19.206268,37,37.0,0.0014714773490132722,0.0014756517461878996,0.057233749049857834,0.01681828013838917
F03396,"Mátyásföld, Imre utca H",47.513449,19.200089,38,38.0,0.0058229320217952135,0.0014756517461878996,0.060235252288821074,0.019476242019467405
F03397,"Mátyásföld, Imre utca H",47.513745,19.200581,38,38.0,0.0058229320217952135,0.0014756517461878996,0.060235252288821074,0.019476242019467405
F03398,Műkő utca,47.522796,19.223777,27,27.0,7.091524543116783e-05,0.000983767830791933,0.05175134914978108,0.0033267457707963966
F03399,Nebántsvirág utca,47.505996,19.211401,35,35.0,3.64359731539362e-05,0.000983767830791933,0.05166061037277971,0.0013960268391373081
F03400,Petőfi tér,47.506482,19.211007,35,35.0,3.64359731539362e-05,0.000983767830791933,0.05166061037277971,0.0013960268391373081
F03401,Zsemlékes út,47.502798,19.21442,33,33.0,7.475076265652074e-06,0.000983767830791933,0.049404617253948964,0.0006054087328637362
F03402,Zsemlékes út,47.503122,19.214395,33,33.0,7.475076265652074e-06,0.000983767830791933,0.049404617253948964,0.0006054087328637362
F03403,EGIS Gyógyszergyár,47.497081,19.224542,73,73.0,2.382743641728805e-06,0.000983767830791933,0.048594511903623676,0.0004160611834420105
F03404,EGIS Gyógyszergyár,47.496377,19.225878,73,73.0,2.382743641728805e-06,0.000983767830791933,0.048594511903623676,0.0004160611834420105
F03405,Cinkotai köztemető,47.530799,19.236539,14,14.0,3.0881958355323396e-06,0.000983767830791933,0.04691033273339794,0.0009837678307919333
F03406,Cinkotai köztemető,47.530593,19.235875,14,14.0,3.0881958355323396e-06,0.000983767830791933,0.04691033273339794,0.0009837678307919333
F03407,Gida utca,47.514557,19.191994,63,63.0,0.005468927403803453,0.000983767830791933,0.060123025965576386,0.00707498432374072
F03408,Gida utca,47.515025,19.191292,63,63.0,0.005468927403803453,0.000983767830791933,0.060123025965576386,0.00707498432374072
F03427,Frangepán utca,47.456343,19.201531,949,949.0,0.00010559321837669215,0.000983767830791933,0.06458478937670754,0.007552184118554529
F03428,Frangepán utca,47.456019,19.201172,949,949.0,0.00010559321837669215,0.000983767830791933,0.06458478937670754,0.007552184118554529
F03429,Lőrinci út,47.453141,19.220537,947,947.0,4.253071783234941e-06,0.000983767830791933,0.057466715662718715,0.005665378420447314
F03430,Lőrinci út,47.452889,19.220815,947,947.0,4.253071783234941e-06,0.000983767830791933,0.057466715662718715,0.005665378420447314
F03431,Bélatelepi út,47.450886,19.22468,946,946.0,8.53767480879674e-07,0.000983767830791933,0.05464172445304521,0.00477674365006405
F03432,Baross utca,47.451072,19.226497,946,946.0,8.53767480879674e-07,0.000983767830791933,0.05464172445304521,0.00477674365006405
F03433,Ebergény utca,47.490901,19.302376,118,118.0,1.171075606618245e-08,0.0014756517461878996,0.04077580328131895,0.002616929824699029
F03434,Ebergény utca,47.49071,19.303317,118,118.0,1.171075606618245e-08,0.0014756517461878996,0.04077580328131895,0.002616929824699029
F03435,Pöröly utca,47.49146,19.29727,119,119.0,5.4953152943687776e-08,0.000983767830791933,0.04249937285726231,0.003592467314386713
F03436,Pöröly utca,47.491343,19.297362,119,119.0,5.4953152943687776e-08,0.000983767830791933,0.04249937285726231,0.003592467314386713
F03437,Sági utca,47.473827,19.273136,190,190.0,1.1461480806426654e-05,0.000983767830791933,0.05073874413497055,0.014353384058055214
F03438,Sági utca,47.473502,19.273745,190,190.0,1.1461480806426654e-05,0.000983767830791933,0.05073874413497055,0.014353384058055214
F03439,Czeglédi Mihály utca,47.489453,19.289697,125,125.0,2.7366663651238337e-07,0.0014756517461878996,0.04437508185270878,0.004581383142849848
F03440,Czeglédi Mihály utca,47.489837,19.290787,125,125.0,2.7366663651238337e-07,0.0014756517461878996,0.04437508185270878,0.004581383142849848
F03441,Rákoscsaba vasútállomás,47.491088,19.281822,116,116.0,3.7195816299706377e-07,0.001967535661583866,0.04450038305789646,0.004047123779403311
F03442,Rákoscsaba vasútállomás,47.491708,19.281891,116,116.0,3.7195816299706377e-07,0.001967535661583866,0.04450038305789646,0.004047123779403311
F03443,Aranykút utca,47.493839,19.278065,111,111.0,1.0261130654583154e-07,0.000983767830791933,0.0427334258208265,0.00029329673303136013
F03444,Színes utca,47.49065,19.306051,117,117.0,2.341892094094986e-09,0.000983767830791933,0.03918054270736972,0.0009837678307919333
F03445,Színes utca,47.490669,19.305294,117,117.0,2.341892094094986e-09,0.000983767830791933,0.03918054270736972,0.0009837678307919333
F03446,Hősök tere,47.48917,19.259374,170,170.0,5.010548643855024e-05,0.000983767830791933,0.05360297413452158,0.00018765984613457998
F03447,Hősök tere,47.490033,19.259736,170,170.0,5.010548643855024e-05,0.000983767830791933,0.05360297413452158,0.00018765984613457998
F03448,Tura utca,47.489182,19.277089,115,115.0,9.940335302960581e-07,0.000983767830791933,0.04647069580323672,0.002872099838532237
F03449,Vidor utca,47.495319,19.240607,70,70.0,0.00010712235440973863,0.0014756517461878996,0.05642520122120455,0.005587270190421566
F03450,Vidor utca,47.494842,19.240698,70,70.0,0.00010712235440973863,0.0014756517461878996,0.05642520122120455,0.005587270190421566
F03451,Cinkotai út,47.491456,19.243393,165,165.0,0.0004244837931192016,0.002459419576979833,0.05954019622199443,0.017256683913060844
F03452,Gyöngytyúk utca,47.491034,19.243007,165,165.0,0.0004244837931192016,0.002459419576979833,0.05954019622199443,0.017256683913060844
F03453,Gyöngytyúk utca,47.491025,19.243153,165,165.0,0.0004244837931192016,0.002459419576979833,0.05954019622199443,0.017256683913060844
