stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,Unnamed: 27,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
1089,5.696,0.4356,85,1.616,6.659,4.382,2,45,27,2,112,21,85,54,51,2,25,15,1,57,9,58,29,14,3.54,2.156,2789,San Romualdo - Cronos,40.43587,-3.62066,1020,0.0007023374976851,0.0024283632831471,0.0853365384615384,0.0039291361797332,30.183845,30.705849,31088.0,33736.0
1090,5.053,0.3272,89,1.445,7.311,4.713,1,34,23,0,106,13,58,43,20,1,20,15,0,68,10,38,25,10,3.305,1.7479999999999998,2790,Avenida De Canillejas - Néctar,40.44104,-3.61567,1030,0.0138210847695298,0.0029140359397765,0.1016840337794459,0.0404841219290957,31.130363,30.857945,36767.0,36951.0
1091,3.605,0.5724,45,0.816,4.016,2.276,2,69,65,2,75,22,126,46,96,4,67,57,1,71,17,89,44,79,3.496,0.1089999999999999,2791,Avenida De Daroca - Mateo García,40.42971,-3.65257,1988,8.980853201490606e-06,0.0014570179698882,0.0768685134025237,0.0010454789319984,32.158313,32.89939,32926.0,36627.0
1092,3.442,0.809,50,0.602,4.073,1.945,4,77,72,5,63,20,180,55,122,4,68,65,2,78,19,113,50,99,3.575,-0.133,2792,Alcalá - Alcalde López Casero,40.43234,-3.65465,1927,2.6829641158592764e-05,0.0014570179698882,0.0827738693467336,0.0024602657559671,32.325386,33.56825,36179.0,39799.0
1093,2.272,0.5878,33,0.359,4.045,7.699,5,22,6,0,47,10,8,26,1,5,26,9,0,53,8,6,29,2,3.188,-0.9160000000000004,2793,Barros - Villuercas,40.37524,-3.66674,1336,0.0003451898382191,0.0019426906265177,0.0966575908365411,0.001647095794633,30.350539,30.302758,26542.0,26201.0
1094,3.011,0.3346,41,0.707,3.92,7.532,3,35,9,0,62,12,7,37,7,5,27,10,0,62,10,9,30,5,3.319,-0.3079999999999998,2794,Cazorla - Alcores,40.37677,-3.6662,1337,0.0001599934097716,0.0009713453132588,0.0957095709570957,0.0,30.474746,31.433142,26907.0,25655.0
1095,3.284,0.4059,49,0.777,3.696,7.369,5,36,11,0,69,13,7,41,8,5,29,10,0,60,12,8,32,6,3.169,0.1149999999999997,2795,Pedroches - Benamejí,40.37817,-3.66831,1339,0.0005918542163945,0.0019426906265177,0.1048103843217103,0.0030495428657375,30.882753,31.303519,25834.0,25902.0
1096,4.548,0.5246,73,3.829,3.402,7.137,6,43,24,0,95,16,36,49,25,4,33,10,0,62,10,7,30,6,3.029,1.519,2796,Plaza De Las Regiones,40.38023,-3.67059,1397,0.0027689116907178,0.0024283632831471,0.1169222032935831,0.0076006954895565,31.330701,31.004806,25757.0,27437.0
1097,4.806,0.4822,70,4.552,3.359,7.01,13,52,29,0,95,18,54,59,27,5,35,10,0,68,13,8,41,9,3.21,1.596,2797,Entrevías Cercanías,40.38139,-3.66899,1398,0.0113078636552754,0.0038853812530354,0.1321481291316346,0.122073948907271,31.295623,31.404177,26575.0,27843.0
1098,4.771,0.4975,75,6.348,3.352,7.019,13,50,26,0,97,15,55,48,26,4,35,10,0,68,13,8,40,9,3.193,1.5779999999999998,2798,Entrevías Cercanías,40.3813,-3.66934,1398,0.0113078636552754,0.0038853812530354,0.1321481291316346,0.122073948907271,31.303464,31.139905,26497.0,27910.0
1099,2.531,0.3186,29,0.311,3.328,6.904,4,35,12,0,57,16,22,41,16,3,39,10,0,68,14,9,46,10,3.304,-0.7729999999999997,2799,Vizconde Arlesson - Puerto Balbarán,40.38238,-3.66765,1399,0.002002986149707,0.0009713453132588,0.1168890150439966,0.0028036412495878,31.426408,31.844426,26936.0,28200.0
1100,3.024,0.361,35,0.428,3.28,6.786,4,47,21,1,66,21,35,48,27,4,41,12,0,72,16,11,51,10,3.373,-0.3490000000000002,2800,Puerto De La Morcuera,40.38349,-3.66658,1402,0.0004309826516958,0.0014570179698882,0.1050135155811699,0.0018727607912966,31.663152,32.215384,27179.0,27769.0
1101,2.684,0.1067,31,0.504,3.087,6.533,4,45,23,1,56,17,39,36,29,4,46,15,1,71,19,19,50,24,3.381,-0.6969999999999996,2801,Carlos Martín Álvarez - San Diego,40.38578,-3.66645,1351,7.755993796480537e-05,0.0009713453132588,0.0954433782969452,0.0009320237110624,32.199505,33.005698,26860.0,26509.0
1102,3.233,0.0184,44,0.685,3.018,6.319,5,53,23,1,61,22,44,44,33,3,52,23,1,70,21,37,45,29,3.501,-0.2679999999999998,2802,Carlos Martín Álvarez - Martínez Riva,40.38781,-3.66473,1350,2.33774530821844e-05,0.0014570179698882,0.0876692497658179,3.969394598885832e-05,32.717722,32.702367,26505.0,26787.0
1103,4.142,0.2477,50,0.785,3.004,6.218,6,70,30,1,82,26,53,60,33,5,56,22,1,67,23,41,47,31,3.668,0.4740000000000002,2803,Carlos Martín Álvarez - Javier De Miguel,40.3888,-3.6637,1349,2.69300041877597e-05,0.0024283632831471,0.0879914529914529,0.0041973833736114,32.745528,32.081175,26568.0,26994.0
1104,4.281,0.1941,55,1.24,3.001,6.197,5,72,34,3,92,27,64,60,37,5,54,22,1,67,23,40,45,31,3.641,0.6399999999999997,2804,Carlos Martín Álvarez - Javier De Miguel,40.389,-3.66351,1349,2.69300041877597e-05,0.0024283632831471,0.0879914529914529,0.0041973833736114,32.764134,32.121265,26572.0,28896.0
