,stop_id,walk15_gini,multimodal_gini,income_walk,income_multimodal
1661,2685,32.332453,32.549218,45736.0,35579.0
1662,2686,32.372599,32.440846,42888.0,38359.0
1663,2687,32.379699,32.517071,42566.0,35660.0
1664,2688,32.457938,32.3678,40951.0,37995.0
1665,2689,32.355933,32.550921,40759.0,36621.0
1666,269,29.041945,28.881347,57617.0,56365.0
1667,2690,32.827574,32.3678,45668.0,37995.0
1668,2691,32.777421,32.440846,45338.0,38359.0
1669,2693,35.928475,36.438781,50201.0,58596.0
1670,2694,36.010952,35.455654,50479.0,48110.0
1671,2695,36.496961,37.799672,53842.0,61171.0
1672,2696,37.542292,39.104105,60471.0,63768.0
1673,2697,37.501903,38.333409,61236.0,62234.0
1674,2698,38.519211,37.30051,62468.0,58012.0
1675,270,29.066399,29.622988,57608.0,59000.0
1676,2700,37.289555,36.92068,56616.0,57654.0
1677,2701,37.237601,37.665242,56481.0,59206.0
1678,2702,35.520803,35.231648,53230.0,52620.0
1679,2703,37.555061,37.306552,57169.0,58634.0
1680,2704,34.076242,35.04087,55246.0,55675.0
1681,2705,33.948741,35.442062,55942.0,55229.0
1682,2706,33.992981,34.739638,58968.0,54391.0
1683,2707,34.00641,35.332633,59621.0,57363.0
1684,2709,34.359171,35.191523,60372.0,54975.0
1685,271,29.026765,28.519802,58379.0,57281.0
1686,2710,34.443654,34.96381,57313.0,53041.0
1687,2711,40.501134,40.250626,41286.0,52028.0
1688,2712,34.872292,34.964723,51293.0,51582.0
1689,2713,34.518613,33.865435,50224.0,58179.0
1690,2714,29.960733,29.88049,43398.0,34021.0
1691,2715,29.905781,30.613634,43838.0,36151.0
1692,2716,29.67689,29.914325,45592.0,33904.0
1693,2717,29.692685,30.073576,45659.0,34403.0
1694,2718,29.627862,29.792664,41595.0,34422.0
1695,2719,29.749524,29.924374,38418.0,34298.0
1696,272,28.891394,29.308726,58360.0,53591.0
1697,2720,29.725941,29.53423,38156.0,35296.0
1698,2721,29.706155,29.914325,38342.0,33904.0
1699,2722,29.320813,29.517793,36608.0,35239.0
1700,2723,29.279163,29.641991,36830.0,34676.0
1701,2724,29.222079,29.324756,36313.0,36285.0
1702,2725,29.223758,29.501615,36452.0,35192.0
1703,2726,29.51049,29.48891,36436.0,35093.0
1704,2727,29.505745,29.845462,36722.0,33637.0
1705,2728,29.177293,29.305013,35521.0,34842.0
1706,2729,29.163064,29.209855,35520.0,34912.0
1707,273,34.944744,35.288022,54668.0,53479.0
1708,2730,29.167055,29.146631,36166.0,36779.0
1709,2731,29.199558,29.265632,35791.0,35053.0
1710,2732,34.472902,33.790978,53419.0,53478.0
1711,2733,33.19497,32.80014,52781.0,53376.0
1712,2734,29.744212,29.985917,35696.0,36687.0
1713,2735,29.582142,28.962689,36196.0,38934.0
1714,2736,29.253639,29.733046,36792.0,38610.0
1715,2737,29.246023,30.194845,36603.0,39716.0
1716,2738,29.091691,29.483462,37454.0,38459.0
1717,2739,29.023851,30.111448,37683.0,39233.0
1718,2740,28.937117,29.886023,37996.0,35012.0
1719,2741,29.044637,29.594258,38323.0,34247.0
1720,2742,29.060427,29.625216,37334.0,36458.0
1721,2743,29.010051,29.953357,37678.0,38744.0
1722,2744,29.358147,30.110888,36121.0,35925.0
1723,2745,29.314094,29.751142,36301.0,37716.0
1724,2746,36.44163,36.136778,54960.0,53292.0
1725,2747,29.51828,30.396664,35685.0,36596.0
1726,2748,29.78328,30.404844,35166.0,37776.0
1727,2749,32.75514,33.426489,54152.0,54437.0
1728,2750,32.996916,33.729867,53565.0,53929.0
1729,2751,33.708223,34.473667,53606.0,51350.0
1730,2752,34.810384,34.951392,53509.0,52270.0
1731,2753,36.872245,36.779376,50230.0,53133.0
1732,2756,33.380144,32.176003,46950.0,46474.0
1733,2757,32.694279,30.634227,45781.0,43672.0
1734,2758,32.58278,31.63071,45454.0,45210.0
1735,2759,31.98913,30.425072,44651.0,44149.0
1736,276,32.125756,31.927235,45388.0,55201.0
1737,2760,32.139265,31.206592,44490.0,43189.0
1738,2761,31.225079,30.069954,43669.0,44659.0
1739,2762,31.189753,30.793988,43374.0,43044.0
1740,2763,30.544592,29.944206,43414.0,44872.0
1741,2764,30.690455,30.567318,43135.0,43871.0
1742,2765,29.744015,29.836705,42441.0,44248.0
1743,2766,29.759331,29.988052,42354.0,44380.0
1744,2767,29.41045,29.577053,42391.0,43913.0
1745,2768,29.419406,30.283095,42196.0,42928.0
1746,2769,30.004845,29.062992,48861.0,44836.0
1747,2770,30.057744,29.48206,48813.0,44058.0
1748,2771,31.240967,29.565162,51171.0,47952.0
1749,2772,31.091768,28.968126,50847.0,44232.0
1750,2777,37.118458,37.782716,48196.0,45642.0
1751,2778,34.606084,34.886702,49337.0,50714.0
1752,2779,34.828015,36.429045,49809.0,55466.0
1753,278,40.050767,39.967039,48422.0,55048.0
1754,2785,36.548911,36.870789,51561.0,51976.0
1755,2786,36.591566,36.101346,53204.0,55858.0
1756,2787,33.872244,34.384254,70506.0,66145.0
1757,2788,34.052399,32.779204,54441.0,64372.0
1758,2790,33.779569,35.08837,70092.0,64942.0
1759,2791,33.639334,33.147532,73319.0,68633.0
1760,2792,32.26518,34.321806,75295.0,60864.0
1761,2793,31.060283,31.507851,40863.0,38610.0
1762,2794,31.226137,31.082266,28378.0,30296.0
1763,2795,30.27479,31.08179,31017.0,29181.0
1764,2796,30.227429,31.028686,30943.0,29618.0
1765,2797,30.950838,30.66025,29334.0,29477.0
